testDate,expression,movement,quality,benchmarkPct
4/2/2024,dynamic,jump,pre-load,0.53
6/2/2024,isometric,upper body,grapple,
17/02/2024,dynamic,upper body,push,0.4345
12/3/2024,dynamic,jump,pre-load,0.5
13/03/2024,dynamic,agility,deceleration,0.89
14/03/2024,dynamic,sprint,max velocity,0.637
15/03/2024,isometric,upper body,push,0.704
17/03/2024,isometric,jump,pre-load,0.52
30/03/2024,dynamic,agility,acceleration,0.44
31/03/2024,isometric,upper body,pull,
4/4/2024,dynamic,sprint,max velocity,0.628
11/4/2024,dynamic,sprint,acceleration,0.433
13/04/2024,isometric,sprint,max velocity,-0.2
14/04/2024,isometric,jump,pre-load,0.52
16/04/2024,isometric,agility,deceleration,1.1365
19/04/2024,isometric,agility,acceleration,0.52
19/04/2024,dynamic,agility,deceleration,0.89
25/04/2024,isometric,agility,rotate,
8/5/2024,dynamic,upper body,push,0.43
10/5/2024,dynamic,sprint,max velocity,0.625
12/5/2024,dynamic,sprint,acceleration,0.43
20/05/2024,isometric,sprint,acceleration,0.49
26/05/2024,dynamic,jump,pre-load,0.4655
14/06/2024,isometric,agility,acceleration,0.49
15/06/2024,dynamic,jump,land,0.723
17/06/2024,dynamic,jump,land,0.723
17/06/2024,dynamic,upper body,push,0.43
28/06/2024,dynamic,jump,pre-load,0.4655
28/06/2024,dynamic,sprint,acceleration,0.436
30/06/2024,dynamic,agility,deceleration,0.89
8/7/2024,dynamic,jump,take off,0.687
12/7/2024,isometric,jump,land,0.42
19/07/2024,isometric,upper body,pull,
13/08/2024,dynamic,jump,land,0.652
19/08/2024,isometric,sprint,acceleration,0.7305
23/08/2024,dynamic,upper body,pull,0.855
28/08/2024,dynamic,sprint,acceleration,0.428
31/08/2024,dynamic,agility,acceleration,0.428
16/09/2024,dynamic,sprint,acceleration,0.4955
23/09/2024,dynamic,agility,deceleration,0.896
5/10/2024,isometric,jump,take off,0.426
9/10/2024,dynamic,agility,acceleration,0.498
24/10/2024,isometric,jump,pre-load,0.6935
2/11/2024,isometric,agility,acceleration,0.677
13/11/2024,dynamic,jump,land,0.666
13/11/2024,isometric,upper body,push,0.936
23/11/2024,isometric,upper body,push,0.936
2/12/2024,isometric,agility,deceleration,0.8655
17/12/2024,isometric,jump,take off,0.4
29/12/2024,dynamic,upper body,push,0.498
4/1/2025,isometric,upper body,grapple,0.6705
4/1/2025,dynamic,sprint,max velocity,0.663
13/01/2025,isometric,agility,rotate,0.6675
21/01/2025,dynamic,jump,land,0.7465
22/01/2025,isometric,jump,land,0.46
23/01/2025,dynamic,jump,pre-load,0.53
23/01/2025,dynamic,sprint,acceleration,0.5
6/2/2025,isometric,agility,rotate,0.6415
8/2/2025,isometric,sprint,acceleration,0.79
18/02/2025,dynamic,jump,land,0.745
23/02/2025,dynamic,upper body,pull,0.87
26/02/2025,dynamic,jump,land,0.745
26/02/2025,isometric,agility,rotate,0.6385
28/02/2025,isometric,jump,take off,0.3955
8/3/2025,dynamic,agility,deceleration,0.88
8/3/2025,isometric,sprint,max velocity,0.77
25/07/2023,dynamic,upper body,push,0.345
28/07/2023,isometric,agility,rotate,
2/8/2023,isometric,agility,deceleration,0.781
8/8/2023,dynamic,upper body,push,0.37
12/8/2023,dynamic,jump,take off,0.7335
19/08/2023,dynamic,upper body,pull,0.87
4/9/2023,isometric,upper body,push,
10/9/2023,dynamic,sprint,max velocity,0.5845
16/09/2023,isometric,agility,acceleration,0.52
17/09/2023,dynamic,sprint,max velocity,0.5845
2/10/2023,dynamic,sprint,max velocity,0.5705
5/10/2023,dynamic,agility,acceleration,0.4305
5/10/2023,dynamic,sprint,acceleration,0.4305
6/10/2023,dynamic,sprint,max velocity,0.5705
13/10/2023,isometric,upper body,pull,
16/10/2023,dynamic,jump,take off,0.72
19/10/2023,dynamic,jump,take off,0.72
21/10/2023,dynamic,jump,pre-load,0.564
7/11/2023,isometric,sprint,acceleration,0.52
9/11/2023,dynamic,upper body,push,0.431
15/11/2023,isometric,sprint,acceleration,0.52
25/11/2023,dynamic,upper body,push,0.4305
5/12/2023,isometric,jump,pre-load,0.52
27/12/2023,isometric,jump,pre-load,0.52
5/1/2024,isometric,sprint,acceleration,0.52
7/1/2024,isometric,sprint,max velocity,
8/1/2024,dynamic,upper body,push,0.426
16/01/2024,dynamic,agility,deceleration,0.879
18/01/2024,isometric,jump,land,
19/01/2024,isometric,jump,land,
20/01/2024,isometric,upper body,push,0.687
28/01/2024,dynamic,agility,deceleration,0.879
8/2/2024,dynamic,jump,pre-load,0.53
9/2/2024,dynamic,upper body,push,0.4345
11/2/2024,dynamic,upper body,push,0.4345
11/2/2024,isometric,agility,acceleration,0.52
20/02/2024,isometric,agility,acceleration,0.52
21/02/2024,dynamic,upper body,pull,0.89
23/02/2024,isometric,upper body,grapple,
26/02/2024,isometric,sprint,acceleration,0.52
28/02/2024,isometric,sprint,acceleration,0.52
29/02/2024,dynamic,sprint,acceleration,0.4445
3/3/2024,dynamic,agility,deceleration,0.89
4/3/2024,isometric,upper body,pull,
14/03/2024,dynamic,jump,take off,0.6525
19/03/2024,dynamic,jump,land,0.668
30/03/2024,isometric,jump,pre-load,0.52
31/03/2024,dynamic,jump,land,0.6625
7/4/2024,isometric,upper body,pull,
12/4/2024,isometric,upper body,push,0.704
17/04/2024,isometric,upper body,grapple,
26/04/2024,isometric,upper body,pull,
30/04/2024,dynamic,sprint,max velocity,0.628
5/5/2024,isometric,agility,acceleration,0.52
5/5/2024,dynamic,sprint,max velocity,0.628
11/5/2024,isometric,jump,land,
18/05/2024,dynamic,upper body,push,0.43
8/6/2024,dynamic,sprint,max velocity,0.625
23/06/2024,isometric,agility,deceleration,1.1365
30/06/2024,dynamic,jump,pre-load,0.4655
12/7/2024,isometric,upper body,grapple,
21/07/2024,dynamic,upper body,push,0.488
3/8/2024,isometric,sprint,max velocity,0.756
6/8/2024,isometric,upper body,push,0.96
12/8/2024,dynamic,jump,land,0.652
14/08/2024,dynamic,upper body,push,0.428
29/08/2024,isometric,jump,pre-load,0.731
31/08/2024,isometric,upper body,pull,
2/9/2024,dynamic,jump,land,0.641
5/9/2024,isometric,jump,pre-load,0.7275
22/09/2024,dynamic,sprint,acceleration,0.494
24/09/2024,dynamic,upper body,push,0.494
25/09/2024,dynamic,upper body,pull,0.896
3/10/2024,isometric,upper body,pull,
8/10/2024,dynamic,jump,land,0.65
22/10/2024,dynamic,jump,take off,0.7165
4/11/2024,dynamic,agility,deceleration,0.88
10/11/2024,dynamic,jump,land,0.666
19/11/2024,dynamic,jump,land,0.666
29/11/2024,isometric,agility,acceleration,0.79
2/12/2024,isometric,jump,pre-load,0.796
3/12/2024,dynamic,jump,land,0.728
4/12/2024,isometric,sprint,max velocity,0.685
12/12/2024,dynamic,jump,land,0.728
13/12/2024,isometric,jump,land,0.4
13/12/2024,dynamic,jump,pre-load,0.557
20/12/2024,isometric,agility,rotate,0.68
22/12/2024,dynamic,sprint,max velocity,0.6645
28/12/2024,dynamic,agility,deceleration,0.876
2/1/2025,isometric,agility,deceleration,0.9155
19/01/2025,dynamic,jump,take off,0.67
20/01/2025,dynamic,jump,take off,0.67
20/01/2025,dynamic,upper body,push,0.5
21/01/2025,isometric,agility,rotate,0.6675
25/01/2025,dynamic,agility,deceleration,0.853
31/01/2025,dynamic,upper body,push,0.4965
4/2/2025,dynamic,agility,deceleration,0.873
13/02/2025,isometric,upper body,pull,0.805
13/02/2025,isometric,agility,rotate,0.6415
23/02/2025,isometric,upper body,grapple,0.6385
2/3/2025,dynamic,agility,deceleration,0.87
6/3/2025,dynamic,agility,deceleration,0.88
2/7/2023,isometric,sprint,acceleration,
26/07/2023,isometric,sprint,acceleration,
4/8/2023,dynamic,jump,take off,0.7365
13/08/2023,dynamic,jump,pre-load,0.6175
19/08/2023,isometric,upper body,pull,
20/08/2023,isometric,upper body,push,
24/08/2023,isometric,upper body,pull,
29/08/2023,isometric,sprint,max velocity,
30/08/2023,isometric,jump,pre-load,0.52
1/9/2023,dynamic,upper body,push,0.3945
1/9/2023,isometric,agility,rotate,
3/9/2023,dynamic,sprint,acceleration,0.3945
11/9/2023,isometric,upper body,push,
29/09/2023,dynamic,jump,land,0.69
4/10/2023,isometric,upper body,pull,
5/10/2023,isometric,upper body,grapple,
13/10/2023,isometric,jump,take off,
26/10/2023,dynamic,jump,land,0.6615
9/11/2023,isometric,jump,land,
9/11/2023,dynamic,sprint,acceleration,0.431
16/11/2023,dynamic,agility,acceleration,0.43
10/12/2023,dynamic,sprint,acceleration,0.43
19/12/2023,dynamic,sprint,acceleration,0.43
20/12/2023,dynamic,jump,land,0.674
23/12/2023,isometric,agility,deceleration,1.112
29/12/2023,isometric,agility,rotate,
2/1/2024,isometric,jump,land,
3/1/2024,isometric,agility,rotate,
16/01/2024,isometric,jump,take off,
22/01/2024,isometric,agility,rotate,
25/01/2024,dynamic,upper body,push,0.4345
5/2/2024,isometric,upper body,grapple,
6/2/2024,isometric,jump,land,
6/2/2024,dynamic,sprint,acceleration,0.4445
8/2/2024,dynamic,upper body,pull,0.89
15/02/2024,isometric,sprint,max velocity,
16/02/2024,isometric,sprint,max velocity,
24/02/2024,isometric,jump,pre-load,0.52
29/02/2024,dynamic,upper body,push,0.4445
1/3/2024,isometric,agility,rotate,
6/3/2024,isometric,upper body,grapple,
12/3/2024,isometric,agility,deceleration,1.138
13/03/2024,isometric,jump,pre-load,0.52
20/03/2024,dynamic,sprint,max velocity,0.637
28/03/2024,isometric,jump,take off,
7/4/2024,dynamic,jump,pre-load,0.521
11/4/2024,isometric,jump,take off,
13/04/2024,dynamic,agility,acceleration,0.43
19/04/2024,isometric,sprint,max velocity,-0.2
20/04/2024,dynamic,jump,take off,0.64
6/5/2024,dynamic,agility,acceleration,0.43
8/5/2024,isometric,agility,rotate,
10/5/2024,dynamic,agility,acceleration,0.43
13/05/2024,isometric,agility,deceleration,1.1365
18/05/2024,dynamic,sprint,max velocity,0.625
3/6/2024,isometric,upper body,grapple,
11/6/2024,isometric,agility,acceleration,0.49
19/06/2024,isometric,upper body,pull,
23/06/2024,isometric,upper body,push,0.704
30/06/2024,dynamic,jump,take off,0.639
3/7/2024,isometric,upper body,pull,
3/7/2024,isometric,agility,rotate,
10/7/2024,dynamic,sprint,acceleration,0.491
13/07/2024,isometric,jump,land,0.4125
13/07/2024,dynamic,jump,pre-load,0.5175
19/07/2024,isometric,upper body,grapple,0.278
20/07/2024,isometric,jump,take off,0.3975
9/8/2024,isometric,jump,take off,0.363
23/08/2024,dynamic,agility,deceleration,0.855
26/08/2024,dynamic,upper body,push,0.428
1/9/2024,isometric,upper body,pull,
7/9/2024,dynamic,jump,take off,0.72
8/9/2024,isometric,jump,land,0.33
12/9/2024,dynamic,jump,pre-load,0.505
13/09/2024,isometric,jump,take off,0.368
13/09/2024,isometric,upper body,grapple,0.6315
14/09/2024,isometric,agility,rotate,0.6315
22/09/2024,isometric,agility,deceleration,0.869
23/09/2024,isometric,agility,deceleration,0.869
27/09/2024,isometric,upper body,push,0.936
16/10/2024,dynamic,upper body,push,0.498
17/10/2024,isometric,upper body,push,0.936
20/10/2024,dynamic,upper body,pull,0.88
23/10/2024,dynamic,agility,acceleration,0.486
28/10/2024,dynamic,jump,pre-load,0.57
18/11/2024,dynamic,sprint,acceleration,0.47
20/11/2024,isometric,sprint,acceleration,0.799
22/11/2024,isometric,upper body,grapple,0.6795
28/12/2024,isometric,sprint,acceleration,0.79
30/12/2024,isometric,upper body,grapple,0.6705
4/1/2025,dynamic,jump,pre-load,0.497
11/1/2025,isometric,upper body,push,0.918
15/01/2025,isometric,jump,land,0.46
17/01/2025,dynamic,agility,deceleration,0.853
20/01/2025,dynamic,jump,pre-load,0.474
31/01/2025,dynamic,jump,take off,0.6825
3/2/2025,isometric,upper body,push,0.96
18/02/2025,isometric,agility,deceleration,0.96
11/3/2025,dynamic,agility,acceleration,0.495
4/7/2023,dynamic,jump,pre-load,0.554
5/7/2023,dynamic,upper body,pull,0.87
21/07/2023,isometric,agility,rotate,
5/8/2023,isometric,jump,pre-load,
5/8/2023,isometric,agility,rotate,
7/8/2023,dynamic,agility,acceleration,0.39
22/08/2023,isometric,upper body,grapple,
23/08/2023,isometric,agility,acceleration,
31/08/2023,isometric,upper body,grapple,
12/10/2023,isometric,agility,deceleration,1.038
18/10/2023,dynamic,jump,land,0.6615
24/10/2023,dynamic,jump,land,0.6615
27/10/2023,isometric,upper body,pull,
28/10/2023,isometric,jump,pre-load,0.52
7/11/2023,dynamic,jump,take off,0.651
20/11/2023,isometric,sprint,acceleration,0.52
22/11/2023,dynamic,jump,land,0.69
23/11/2023,isometric,upper body,grapple,
23/11/2023,isometric,agility,rotate,
24/11/2023,isometric,agility,deceleration,1.038
28/12/2023,isometric,sprint,acceleration,0.52
4/1/2024,isometric,jump,land,
8/1/2024,dynamic,agility,acceleration,0.426
13/01/2024,isometric,jump,land,
25/01/2024,isometric,agility,deceleration,1.138
1/2/2024,isometric,upper body,pull,
3/2/2024,dynamic,agility,acceleration,0.4445
22/02/2024,dynamic,sprint,max velocity,0.637
24/02/2024,isometric,jump,take off,
7/3/2024,dynamic,jump,pre-load,0.5
10/3/2024,isometric,upper body,grapple,
12/3/2024,isometric,sprint,max velocity,
16/03/2024,isometric,jump,take off,
23/03/2024,dynamic,jump,pre-load,0.524
31/03/2024,isometric,sprint,max velocity,
2/4/2024,dynamic,jump,pre-load,0.521
3/4/2024,isometric,upper body,grapple,
10/4/2024,dynamic,jump,take off,0.64
19/04/2024,isometric,upper body,push,0.704
21/04/2024,isometric,agility,deceleration,1.1365
28/04/2024,isometric,jump,take off,
29/04/2024,dynamic,agility,acceleration,0.43
6/5/2024,isometric,jump,pre-load,0.52
7/5/2024,isometric,jump,take off,
13/05/2024,isometric,agility,acceleration,0.52
16/05/2024,isometric,upper body,grapple,
17/05/2024,isometric,agility,deceleration,1.1365
18/05/2024,isometric,upper body,grapple,
29/05/2024,dynamic,upper body,push,0.43
4/6/2024,isometric,agility,rotate,
5/6/2024,isometric,upper body,grapple,
6/6/2024,isometric,agility,acceleration,0.49
8/6/2024,isometric,jump,land,
16/06/2024,dynamic,agility,acceleration,0.43
22/06/2024,isometric,jump,land,
8/7/2024,dynamic,upper body,pull,0.897
13/07/2024,dynamic,jump,take off,0.695
22/07/2024,isometric,jump,take off,0.3975
29/07/2024,isometric,jump,pre-load,0.685
31/07/2024,isometric,upper body,pull,
2/8/2024,isometric,agility,deceleration,1.032
9/8/2024,dynamic,upper body,push,0.428
15/08/2024,isometric,agility,acceleration,0.7305
16/08/2024,dynamic,jump,pre-load,0.5095
22/08/2024,dynamic,upper body,pull,0.855
26/08/2024,isometric,agility,rotate,0.5075
27/08/2024,isometric,upper body,grapple,0.6015
1/9/2024,isometric,jump,land,0.363
5/9/2024,dynamic,jump,take off,0.72
18/09/2024,isometric,upper body,grapple,0.6315
25/09/2024,isometric,upper body,pull,
27/09/2024,isometric,upper body,pull,
2/10/2024,isometric,upper body,push,0.936
13/10/2024,isometric,upper body,pull,
15/10/2024,dynamic,jump,take off,0.7165
16/10/2024,dynamic,sprint,acceleration,0.498
23/10/2024,dynamic,jump,pre-load,0.5375
28/10/2024,dynamic,jump,take off,0.69
3/11/2024,dynamic,jump,land,0.666
11/11/2024,dynamic,jump,land,0.666
12/11/2024,dynamic,sprint,max velocity,0.665
17/11/2024,dynamic,upper body,pull,0.88
23/11/2024,isometric,agility,acceleration,0.799
24/11/2024,isometric,jump,land,0.444
27/11/2024,dynamic,upper body,push,0.47
15/12/2024,isometric,agility,acceleration,0.796
7/1/2025,isometric,jump,land,0.42
9/1/2025,isometric,agility,deceleration,0.92
12/1/2025,isometric,jump,take off,0.46
12/1/2025,dynamic,upper body,pull,0.853
3/2/2025,isometric,sprint,acceleration,0.79
4/2/2025,isometric,agility,deceleration,0.96
17/02/2025,isometric,upper body,push,0.9555
20/02/2025,dynamic,agility,deceleration,0.87
25/02/2025,dynamic,jump,land,0.745
3/3/2025,isometric,upper body,pull,0.854
9/3/2025,isometric,agility,rotate,0.627
11/3/2025,dynamic,jump,pre-load,0.5225
5/7/2023,isometric,upper body,push,
15/07/2023,isometric,upper body,grapple,
17/07/2023,dynamic,jump,land,0.6975
1/8/2023,dynamic,sprint,max velocity,0.67
4/8/2023,isometric,agility,deceleration,0.818
20/08/2023,dynamic,jump,land,0.69
24/08/2023,isometric,agility,acceleration,
2/9/2023,dynamic,upper body,push,0.3945
4/9/2023,dynamic,agility,deceleration,0.877
17/09/2023,dynamic,jump,pre-load,0.51
8/11/2023,isometric,jump,pre-load,0.52
8/11/2023,isometric,upper body,push,0.67
13/11/2023,isometric,sprint,acceleration,0.52
17/11/2023,isometric,sprint,acceleration,0.52
18/11/2023,isometric,jump,take off,
26/11/2023,dynamic,jump,take off,0.631
28/11/2023,isometric,agility,rotate,
29/11/2023,dynamic,agility,deceleration,0.87
6/12/2023,isometric,agility,acceleration,0.52
15/12/2023,isometric,agility,rotate,
2/1/2024,isometric,agility,rotate,
7/1/2024,dynamic,agility,acceleration,0.426
8/1/2024,isometric,sprint,acceleration,0.52
13/01/2024,dynamic,sprint,max velocity,0.598
14/01/2024,isometric,jump,take off,
21/01/2024,isometric,upper body,pull,
22/01/2024,dynamic,jump,land,0.668
22/01/2024,isometric,upper body,push,0.6385
29/01/2024,isometric,agility,acceleration,0.52
2/2/2024,isometric,upper body,pull,
2/3/2024,dynamic,jump,take off,0.6625
2/3/2024,dynamic,upper body,push,0.4445
8/3/2024,isometric,jump,pre-load,0.52
23/03/2024,isometric,jump,pre-load,0.52
1/4/2024,isometric,upper body,grapple,
11/4/2024,isometric,jump,land,
13/04/2024,dynamic,sprint,acceleration,0.43
28/04/2024,isometric,jump,pre-load,0.52
27/05/2024,dynamic,sprint,acceleration,0.43
29/05/2024,isometric,agility,deceleration,1.1365
31/05/2024,dynamic,jump,land,0.664
31/05/2024,isometric,agility,acceleration,0.49
18/06/2024,isometric,agility,acceleration,0.49
3/7/2024,isometric,upper body,grapple,
18/07/2024,dynamic,sprint,max velocity,0.6725
22/07/2024,dynamic,jump,pre-load,0.466
31/07/2024,isometric,sprint,acceleration,0.7305
2/8/2024,dynamic,upper body,push,0.428
3/8/2024,isometric,upper body,grapple,0.384
5/8/2024,dynamic,jump,take off,0.749
12/8/2024,dynamic,jump,pre-load,0.5095
13/08/2024,dynamic,sprint,acceleration,0.428
17/08/2024,isometric,jump,land,0.363
1/9/2024,dynamic,sprint,acceleration,0.428
4/9/2024,isometric,agility,rotate,0.6405
7/9/2024,isometric,agility,rotate,0.6315
8/9/2024,dynamic,jump,land,0.6495
12/9/2024,dynamic,sprint,max velocity,0.688
19/09/2024,dynamic,jump,take off,0.7055
24/09/2024,isometric,jump,take off,0.426
28/09/2024,isometric,sprint,acceleration,0.72
5/10/2024,isometric,upper body,push,0.936
7/10/2024,isometric,agility,acceleration,0.6925
12/10/2024,isometric,agility,rotate,0.6595
25/10/2024,dynamic,upper body,push,0.486
3/11/2024,dynamic,upper body,push,0.486
8/11/2024,isometric,agility,acceleration,0.7145
8/11/2024,dynamic,sprint,acceleration,0.47
11/11/2024,dynamic,agility,acceleration,0.47
13/11/2024,isometric,agility,deceleration,0.866
17/11/2024,isometric,upper body,push,0.936
21/11/2024,isometric,upper body,push,0.936
30/11/2024,isometric,sprint,max velocity,0.73
4/12/2024,dynamic,sprint,acceleration,0.498
9/12/2024,dynamic,jump,land,0.728
18/12/2024,dynamic,upper body,pull,0.876
26/12/2024,isometric,upper body,pull,0.46
27/12/2024,dynamic,jump,take off,0.69
8/1/2025,isometric,agility,deceleration,0.92
10/1/2025,dynamic,jump,land,0.7365
13/01/2025,dynamic,upper body,push,0.5
17/01/2025,dynamic,upper body,pull,0.853
28/01/2025,isometric,jump,pre-load,0.79
30/01/2025,dynamic,upper body,pull,0.873
31/01/2025,dynamic,agility,acceleration,0.4965
8/2/2025,isometric,jump,land,0.39
13/02/2025,dynamic,jump,take off,0.68
14/02/2025,isometric,agility,deceleration,0.958
16/02/2025,isometric,sprint,max velocity,0.728
25/02/2025,isometric,upper body,pull,0.7975
4/3/2025,isometric,jump,take off,0.3955
14/07/2023,dynamic,sprint,acceleration,0.336
20/07/2023,isometric,jump,pre-load,
22/07/2023,dynamic,jump,take off,0.7365
24/07/2023,isometric,upper body,pull,
25/07/2023,dynamic,jump,land,0.69
28/07/2023,dynamic,upper body,push,0.345
28/07/2023,dynamic,agility,deceleration,0.8525
7/8/2023,isometric,upper body,pull,
11/8/2023,isometric,sprint,max velocity,
22/08/2023,isometric,sprint,acceleration,
6/9/2023,isometric,sprint,acceleration,0.52
11/9/2023,isometric,jump,pre-load,0.52
19/09/2023,isometric,jump,take off,
28/09/2023,dynamic,jump,pre-load,0.49
14/10/2023,isometric,jump,pre-load,0.52
23/10/2023,isometric,jump,pre-load,0.52
30/10/2023,dynamic,jump,land,0.6615
5/11/2023,isometric,sprint,max velocity,
9/11/2023,dynamic,jump,pre-load,0.497
17/11/2023,dynamic,upper body,pull,0.871
19/11/2023,dynamic,sprint,acceleration,0.43
21/11/2023,dynamic,agility,deceleration,0.871
29/11/2023,dynamic,sprint,acceleration,0.43
5/12/2023,dynamic,jump,land,0.688
9/12/2023,dynamic,jump,pre-load,0.4955
13/12/2023,isometric,agility,deceleration,1.04
16/12/2023,isometric,upper body,push,0.664
1/1/2024,isometric,jump,take off,
3/1/2024,dynamic,agility,acceleration,0.426
15/01/2024,isometric,upper body,pull,
17/01/2024,isometric,upper body,grapple,
27/01/2024,isometric,jump,pre-load,0.52
3/2/2024,dynamic,sprint,max velocity,0.646
4/2/2024,isometric,agility,deceleration,1.138
12/2/2024,dynamic,agility,deceleration,0.89
23/02/2024,isometric,agility,deceleration,1.148
21/03/2024,dynamic,agility,acceleration,0.4445
23/03/2024,isometric,upper body,pull,
29/03/2024,isometric,jump,land,
30/03/2024,isometric,agility,rotate,
10/4/2024,dynamic,sprint,acceleration,0.44
11/4/2024,dynamic,upper body,pull,0.89
30/04/2024,isometric,upper body,push,0.704
3/5/2024,isometric,upper body,push,0.704
13/05/2024,dynamic,upper body,push,0.43
13/05/2024,isometric,upper body,push,0.704
14/05/2024,dynamic,sprint,max velocity,0.625
17/06/2024,dynamic,agility,deceleration,0.89
22/06/2024,dynamic,upper body,push,0.436
26/06/2024,isometric,jump,land,
27/06/2024,dynamic,jump,pre-load,0.4655
27/06/2024,dynamic,upper body,pull,0.89
28/06/2024,isometric,upper body,push,0.704
1/7/2024,isometric,upper body,grapple,
23/07/2024,dynamic,upper body,pull,0.855
26/07/2024,isometric,agility,acceleration,0.685
29/07/2024,isometric,upper body,grapple,0.286
18/08/2024,isometric,jump,pre-load,0.7305
21/08/2024,isometric,upper body,pull,
27/08/2024,dynamic,sprint,acceleration,0.428
31/08/2024,dynamic,agility,deceleration,0.9
15/09/2024,dynamic,jump,land,0.6495
17/09/2024,dynamic,upper body,push,0.494
18/09/2024,dynamic,jump,take off,0.7155
19/09/2024,isometric,jump,land,0.426
25/09/2024,dynamic,sprint,max velocity,0.694
30/09/2024,dynamic,sprint,max velocity,0.702
10/10/2024,dynamic,upper body,push,0.498
10/10/2024,dynamic,sprint,max velocity,0.67
16/10/2024,isometric,agility,rotate,0.6595
26/10/2024,dynamic,jump,land,0.666
30/10/2024,isometric,jump,take off,0.444
6/11/2024,isometric,sprint,max velocity,0.68
18/11/2024,dynamic,agility,acceleration,0.47
24/11/2024,isometric,jump,pre-load,0.799
2/12/2024,isometric,jump,land,0.42
12/12/2024,dynamic,upper body,pull,0.876
17/12/2024,dynamic,jump,land,0.728
18/12/2024,isometric,sprint,max velocity,0.685
22/12/2024,dynamic,agility,deceleration,0.876
23/12/2024,dynamic,sprint,acceleration,0.498
25/12/2024,isometric,upper body,push,0.876
28/12/2024,isometric,agility,rotate,0.6705
3/1/2025,dynamic,upper body,push,0.498
19/01/2025,isometric,agility,acceleration,0.7475
26/01/2025,isometric,sprint,max velocity,0.749
27/01/2025,isometric,upper body,grapple,0.6675
30/01/2025,isometric,agility,rotate,0.6445
11/2/2025,dynamic,jump,take off,0.68
27/02/2025,isometric,agility,acceleration,0.79
4/3/2025,dynamic,sprint,acceleration,0.495
5/7/2023,dynamic,upper body,push,0.32
6/7/2023,isometric,sprint,max velocity,
12/7/2023,isometric,upper body,grapple,
18/07/2023,isometric,sprint,max velocity,
30/07/2023,dynamic,agility,acceleration,0.395
3/8/2023,isometric,jump,take off,
7/8/2023,isometric,jump,pre-load,
16/08/2023,dynamic,jump,land,0.69
30/08/2023,isometric,upper body,push,
4/9/2023,isometric,jump,pre-load,0.52
6/9/2023,isometric,agility,rotate,
26/09/2023,dynamic,jump,pre-load,0.49
29/09/2023,dynamic,jump,pre-load,0.487
3/10/2023,isometric,upper body,pull,
14/10/2023,isometric,upper body,push,
22/10/2023,isometric,upper body,grapple,
26/10/2023,dynamic,jump,take off,0.6955
28/10/2023,isometric,jump,take off,
29/10/2023,dynamic,upper body,push,0.4305
19/11/2023,isometric,agility,rotate,
23/11/2023,dynamic,upper body,push,0.4305
17/12/2023,dynamic,jump,land,0.68
21/12/2023,dynamic,jump,land,0.674
19/01/2024,isometric,sprint,max velocity,
2/2/2024,dynamic,upper body,pull,0.899
2/2/2024,isometric,sprint,max velocity,
10/2/2024,isometric,upper body,grapple,
19/02/2024,dynamic,jump,pre-load,0.476
14/03/2024,isometric,upper body,grapple,
17/03/2024,dynamic,jump,land,0.668
25/03/2024,isometric,upper body,push,0.704
28/03/2024,isometric,agility,acceleration,0.52
9/4/2024,isometric,agility,rotate,
7/5/2024,isometric,upper body,grapple,
