date,match_score,recovery_score,training_score,LBES,risk_level
2024-03-05,36.505192645084406,45.57816318348065,64.371459401133,49.43392569814009,High Risk
2024-03-06,47.10979211700016,47.70282374977943,63.27218775289993,52.97419166103782,Caution
2024-03-07,37.260195535563625,57.45164150068214,56.91052271170966,51.20481613500622,Caution
2024-03-09,34.97644474194049,57.203836238958495,63.25173095944611,52.65238194202376,Caution
2024-03-10,23.92356216243492,65.30870515151008,64.51533135509398,52.615481426041896,Caution
2024-04-01,34.51268355685999,39.081873502939466,63.43404370110603,46.23437608847392,High Risk
2024-04-02,40.3849786603287,55.10299903079083,65.24817912058269,54.23840595107934,Caution
2024-04-03,40.38362675686571,52.32125361547124,64.53331534933909,53.01418716474333,Caution
2024-04-04,67.911932544331,42.17659932715253,64.32087941731858,57.647697323864186,Acceptable
2024-04-05,37.93102640990643,41.93841764141327,64.371459401133,48.587764887863116,High Risk
2024-04-06,32.5418207111407,48.38906999324241,63.27218775289993,48.84398642449202,High Risk
2024-04-10,30.276930827332087,45.41125514210914,64.51533135509398,47.557384522220715,High Risk
2024-04-11,46.43165535241226,50.81978298899095,64.03066271018794,54.12715260043629,Caution
2024-04-12,74.75722453360916,41.17607450159606,64.52846810089022,59.42375727095295,Acceptable
2024-05-01,38.36234139667249,42.35563045545523,63.43404370110602,48.53508837379819,High Risk
2024-05-03,29.66633363951157,38.7849878076551,64.53331534933909,45.06130619680144,High Risk
2024-05-04,36.3308787879609,52.684775930972336,64.32425141623956,51.85242320791243,Caution
2024-05-07,45.113910877072485,48.420169065336005,56.8762839534353,50.3879318196917,Caution
2024-05-08,44.38180951947727,50.261042300574445,61.37487636003957,52.387114387058084,Caution
2024-05-09,38.97473418599046,44.773966738404496,63.98862512363997,49.7593274075127,High Risk
2024-05-10,37.56681891089925,48.90064751643877,64.51533135509398,50.96563827830624,Caution
2024-08-01,41.942074553668526,40.090988037185966,64.0140275155112,49.019377809544565,High Risk
2024-08-02,33.676698844312064,58.30324054416118,65.19422713784732,53.32712334199659,Caution
2024-08-03,60.58304896806209,56.10950485403025,64.46587537091989,60.37629776915117,Optimal
2024-08-04,31.77697619912345,43.106405807013886,64.31413541947667,47.13028228900873,High Risk
2024-08-05,33.41823902980003,46.78446898043111,63.794847585648775,48.728232507067965,High Risk
2024-08-06,84.6891637956939,54.3121836378551,63.27218775289993,66.56127912547242,Optimal
2024-08-09,42.18821601219266,53.73645919206637,63.899604352126616,53.829087044125345,Caution
2024-08-10,41.65629400068871,50.35811315035943,64.33234421364986,52.638548277609864,Caution
2024-09-03,37.758881314613234,46.30913043975321,64.46587537091989,50.09891642811955,Caution
2024-09-04,36.04058289162924,47.49583154526752,64.31413541947667,49.94566330514923,High Risk
2024-09-05,30.591516852408912,51.25606487894576,63.794847585648775,49.445274418330754,High Risk
2024-09-09,46.736098418836406,46.89125738041037,64.25568743818003,52.92226021215757,Caution
2024-09-10,52.77030741197069,53.28562284547707,64.27794263105837,56.978340140378606,Acceptable
2024-09-12,44.00737972123344,57.03164947334245,64.53310459940654,55.74987784183218,Acceptable
2024-10-01,40.12844294482457,56.19442506603943,64.0477475047208,54.12329328321346,Caution
2024-10-02,37.63739581008691,55.252556761239696,64.78621526841113,53.30478895340385,Caution
2024-10-04,36.108606916074834,50.42806754996331,64.44901537631509,51.039561099019885,Caution
2024-10-05,24.2261931978045,60.88363202364685,63.82856757485838,50.91712781881818,Caution
2024-10-08,34.35730582495318,31.780815649921127,61.2759643916914,42.87706476205033,High Risk
2024-10-09,38.154057208474,39.197751263970446,64.21612265084076,47.64107303272612,High Risk
2024-10-10,57.806001009505,58.4129924558527,64.27794263105837,60.28362758327037,Optimal
2024-11-01,38.27095281360624,50.70168523556634,64.04100350687888,51.6412269039377,Caution
2024-11-02,34.87213771416729,51.79892923909715,64.78621526841113,51.266441891878074,Caution
2024-11-05,29.19003087530836,34.571563934292314,63.82856757485838,43.19705529079525,High Risk
2024-11-06,30.46931856671005,54.65439324236286,63.67008362557324,50.55436247379065,Caution
2024-11-08,41.0681283272382,46.7693598981613,61.2759643916914,50.1363019996199,Caution
2024-11-09,35.717117220008376,54.24336060544278,64.21612265084076,52.17595430570175,Caution
2024-12-02,30.50698177919752,50.02686208755309,64.78621526841113,49.33667160834673,High Risk
2024-12-03,33.23137976784635,58.58049246249756,64.46587537091989,53.03564267205001,Caution
2024-12-04,47.71161376018197,49.39476389534244,64.31413541947667,54.11159888824128,Caution
2024-12-06,41.89869940096092,50.27279493376199,63.67008362557324,52.44961731605561,Caution
2024-12-07,41.53658390330661,57.86191998413615,65.58719470440539,55.66816531198152,Acceptable
2024-12-11,32.491220197047724,43.45177835247436,64.63897131552919,47.57912844291556,High Risk
2024-12-12,53.95795441660832,54.44960215126685,64.5701965875371,57.84431588356388,Acceptable
2025-01-02,33.918859268460686,50.314717311216725,66.13037833827894,50.93144125786168,Caution
2025-01-03,45.12241748196303,51.42909348783551,66.65662091988132,54.866725287289796,Caution
2025-02-01,43.87358336975085,49.81070663398368,64.01381676557864,53.000658200772065,Caution
2025-02-02,33.972617620980586,47.96317242376896,66.13037833827894,50.12452805301094,Caution
2025-03-01,0.0,49.39476389534244,64.1158197329377,39.728704269898046,High Risk
2025-03-03,44.219235222984544,50.66416276052515,66.65662091988132,54.328044855037625,Caution
