sessionDate,seasonName,metric,category,value
7/7/2023,2023/2024,soreness_baseline_completeness,soreness,0.032258065
7/7/2023,2023/2024,soreness_baseline_composite,soreness,0
7/7/2023,2023/2024,subjective_baseline_completeness,subjective,0.064516129
7/7/2023,2023/2024,subjective_baseline_composite,subjective,-0.193333333
8/7/2023,2023/2024,bio_baseline_completeness,bio,0
8/7/2023,2023/2024,bio_baseline_composite,bio,
8/7/2023,2023/2024,emboss_baseline_score,total,0
8/7/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
8/7/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
8/7/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
8/7/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
8/7/2023,2023/2024,sleep_baseline_completeness,sleep,0
8/7/2023,2023/2024,sleep_baseline_composite,sleep,
8/7/2023,2023/2024,soreness_baseline_completeness,soreness,0.210526316
8/7/2023,2023/2024,soreness_baseline_composite,soreness,0
8/7/2023,2023/2024,subjective_baseline_completeness,subjective,0.105263158
8/7/2023,2023/2024,subjective_baseline_composite,subjective,0
9/7/2023,2023/2024,bio_baseline_completeness,bio,0
9/7/2023,2023/2024,bio_baseline_composite,bio,
9/7/2023,2023/2024,emboss_baseline_score,total,
9/7/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
9/7/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
9/7/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
9/7/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
9/7/2023,2023/2024,sleep_baseline_completeness,sleep,0
9/7/2023,2023/2024,sleep_baseline_composite,sleep,
9/7/2023,2023/2024,soreness_baseline_completeness,soreness,0
9/7/2023,2023/2024,soreness_baseline_composite,soreness,
9/7/2023,2023/2024,subjective_baseline_completeness,subjective,0
9/7/2023,2023/2024,subjective_baseline_composite,subjective,
10/7/2023,2023/2024,bio_baseline_completeness,bio,0
10/7/2023,2023/2024,bio_baseline_composite,bio,
10/7/2023,2023/2024,emboss_baseline_score,total,0.196666667
10/7/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
10/7/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
10/7/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
10/7/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
10/7/2023,2023/2024,sleep_baseline_completeness,sleep,0
10/7/2023,2023/2024,sleep_baseline_composite,sleep,
10/7/2023,2023/2024,soreness_baseline_completeness,soreness,0.032258065
10/7/2023,2023/2024,soreness_baseline_composite,soreness,0
10/7/2023,2023/2024,subjective_baseline_completeness,subjective,0.064516129
10/7/2023,2023/2024,subjective_baseline_composite,subjective,0.196666667
11/7/2023,2023/2024,bio_baseline_completeness,bio,0
11/7/2023,2023/2024,bio_baseline_composite,bio,
11/7/2023,2023/2024,emboss_baseline_score,total,0
11/7/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
11/7/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
11/7/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
11/7/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
11/7/2023,2023/2024,sleep_baseline_completeness,sleep,0
11/7/2023,2023/2024,sleep_baseline_composite,sleep,
11/7/2023,2023/2024,soreness_baseline_completeness,soreness,0.032258065
11/7/2023,2023/2024,soreness_baseline_composite,soreness,0
11/7/2023,2023/2024,subjective_baseline_completeness,subjective,0.053763441
11/7/2023,2023/2024,subjective_baseline_composite,subjective,0
12/7/2023,2023/2024,bio_baseline_completeness,bio,0
12/7/2023,2023/2024,bio_baseline_composite,bio,
12/7/2023,2023/2024,emboss_baseline_score,total,0.142857143
12/7/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
12/7/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
12/7/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
12/7/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
12/7/2023,2023/2024,sleep_baseline_completeness,sleep,0
12/7/2023,2023/2024,sleep_baseline_composite,sleep,
12/7/2023,2023/2024,soreness_baseline_completeness,soreness,0.064516129
12/7/2023,2023/2024,soreness_baseline_composite,soreness,0
12/7/2023,2023/2024,subjective_baseline_completeness,subjective,0.075268817
12/7/2023,2023/2024,subjective_baseline_composite,subjective,0.142857143
13/07/2023,2023/2024,bio_baseline_completeness,bio,0
13/07/2023,2023/2024,bio_baseline_composite,bio,
13/07/2023,2023/2024,emboss_baseline_score,total,0
13/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
13/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
13/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
13/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
13/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
13/07/2023,2023/2024,sleep_baseline_composite,sleep,
13/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.112903226
13/07/2023,2023/2024,soreness_baseline_composite,soreness,0
13/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.086021505
13/07/2023,2023/2024,subjective_baseline_composite,subjective,0
14/07/2023,2023/2024,bio_baseline_completeness,bio,0
14/07/2023,2023/2024,bio_baseline_composite,bio,
14/07/2023,2023/2024,emboss_baseline_score,total,0.035
14/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
14/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
14/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
14/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
14/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
14/07/2023,2023/2024,sleep_baseline_composite,sleep,
14/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.032258065
14/07/2023,2023/2024,soreness_baseline_composite,soreness,0
14/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.064516129
14/07/2023,2023/2024,subjective_baseline_composite,subjective,0.035
15/07/2023,2023/2024,bio_baseline_completeness,bio,0
15/07/2023,2023/2024,bio_baseline_composite,bio,
15/07/2023,2023/2024,emboss_baseline_score,total,-0.09875
15/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
15/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
15/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
15/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
15/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
15/07/2023,2023/2024,sleep_baseline_composite,sleep,
15/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.032258065
15/07/2023,2023/2024,soreness_baseline_composite,soreness,0
15/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.086021505
15/07/2023,2023/2024,subjective_baseline_composite,subjective,-0.09875
16/07/2023,2023/2024,bio_baseline_completeness,bio,0
16/07/2023,2023/2024,bio_baseline_composite,bio,
16/07/2023,2023/2024,emboss_baseline_score,total,
16/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
16/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
16/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
16/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
16/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
16/07/2023,2023/2024,sleep_baseline_composite,sleep,
16/07/2023,2023/2024,soreness_baseline_completeness,soreness,0
16/07/2023,2023/2024,soreness_baseline_composite,soreness,
16/07/2023,2023/2024,subjective_baseline_completeness,subjective,0
16/07/2023,2023/2024,subjective_baseline_composite,subjective,
17/07/2023,2023/2024,bio_baseline_completeness,bio,0
17/07/2023,2023/2024,bio_baseline_composite,bio,
17/07/2023,2023/2024,emboss_baseline_score,total,0
17/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
17/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
17/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
17/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
17/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
17/07/2023,2023/2024,sleep_baseline_composite,sleep,
17/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.064516129
17/07/2023,2023/2024,soreness_baseline_composite,soreness,0
17/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.107526882
17/07/2023,2023/2024,subjective_baseline_composite,subjective,0
18/07/2023,2023/2024,bio_baseline_completeness,bio,0
18/07/2023,2023/2024,bio_baseline_composite,bio,
18/07/2023,2023/2024,emboss_baseline_score,total,-0.063888889
18/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
18/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
18/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
18/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
18/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
18/07/2023,2023/2024,sleep_baseline_composite,sleep,
18/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.032258065
18/07/2023,2023/2024,soreness_baseline_composite,soreness,0.19
18/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.096774194
18/07/2023,2023/2024,subjective_baseline_composite,subjective,-0.074444444
19/07/2023,2023/2024,bio_baseline_completeness,bio,0
19/07/2023,2023/2024,bio_baseline_composite,bio,
19/07/2023,2023/2024,emboss_baseline_score,total,0
19/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
19/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
19/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
19/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
19/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
19/07/2023,2023/2024,sleep_baseline_composite,sleep,
19/07/2023,2023/2024,soreness_baseline_completeness,soreness,0
19/07/2023,2023/2024,soreness_baseline_composite,soreness,
19/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.064516129
19/07/2023,2023/2024,subjective_baseline_composite,subjective,0
20/07/2023,2023/2024,bio_baseline_completeness,bio,0
20/07/2023,2023/2024,bio_baseline_composite,bio,
20/07/2023,2023/2024,emboss_baseline_score,total,-0.003125
20/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
20/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
20/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
20/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
20/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
20/07/2023,2023/2024,sleep_baseline_composite,sleep,
20/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.032258065
20/07/2023,2023/2024,soreness_baseline_composite,soreness,-0.05
20/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.086021505
20/07/2023,2023/2024,subjective_baseline_composite,subjective,0
21/07/2023,2023/2024,bio_baseline_completeness,bio,0
21/07/2023,2023/2024,bio_baseline_composite,bio,
21/07/2023,2023/2024,emboss_baseline_score,total,-0.013333333
21/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
21/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
21/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
21/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
21/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
21/07/2023,2023/2024,sleep_baseline_composite,sleep,
21/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.210526316
21/07/2023,2023/2024,soreness_baseline_composite,soreness,-0.05
21/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.131578947
21/07/2023,2023/2024,subjective_baseline_composite,subjective,0
22/07/2023,2023/2024,bio_baseline_completeness,bio,0
22/07/2023,2023/2024,bio_baseline_composite,bio,
22/07/2023,2023/2024,emboss_baseline_score,total,0
22/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
22/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
22/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
22/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
22/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
22/07/2023,2023/2024,sleep_baseline_composite,sleep,
22/07/2023,2023/2024,soreness_baseline_completeness,soreness,0
22/07/2023,2023/2024,soreness_baseline_composite,soreness,
22/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.053763441
22/07/2023,2023/2024,subjective_baseline_composite,subjective,0
23/07/2023,2023/2024,bio_baseline_completeness,bio,0
23/07/2023,2023/2024,bio_baseline_composite,bio,
23/07/2023,2023/2024,emboss_baseline_score,total,
23/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
23/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
23/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
23/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
23/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
23/07/2023,2023/2024,sleep_baseline_composite,sleep,
23/07/2023,2023/2024,soreness_baseline_completeness,soreness,0
23/07/2023,2023/2024,soreness_baseline_composite,soreness,
23/07/2023,2023/2024,subjective_baseline_completeness,subjective,0
23/07/2023,2023/2024,subjective_baseline_composite,subjective,
24/07/2023,2023/2024,bio_baseline_completeness,bio,0
24/07/2023,2023/2024,bio_baseline_composite,bio,
24/07/2023,2023/2024,emboss_baseline_score,total,0
24/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
24/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
24/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
24/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
24/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
24/07/2023,2023/2024,sleep_baseline_composite,sleep,
24/07/2023,2023/2024,soreness_baseline_completeness,soreness,0
24/07/2023,2023/2024,soreness_baseline_composite,soreness,
24/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.086021505
24/07/2023,2023/2024,subjective_baseline_composite,subjective,0
25/07/2023,2023/2024,bio_baseline_completeness,bio,0
25/07/2023,2023/2024,bio_baseline_composite,bio,
25/07/2023,2023/2024,emboss_baseline_score,total,0
25/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
25/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
25/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
25/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
25/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
25/07/2023,2023/2024,sleep_baseline_composite,sleep,
25/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.032258065
25/07/2023,2023/2024,soreness_baseline_composite,soreness,0
25/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.053763441
25/07/2023,2023/2024,subjective_baseline_composite,subjective,0
26/07/2023,2023/2024,bio_baseline_completeness,bio,0
26/07/2023,2023/2024,bio_baseline_composite,bio,
26/07/2023,2023/2024,emboss_baseline_score,total,-0.03
26/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
26/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
26/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
26/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
26/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
26/07/2023,2023/2024,sleep_baseline_composite,sleep,
26/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.016129032
26/07/2023,2023/2024,soreness_baseline_composite,soreness,0
26/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.075268817
26/07/2023,2023/2024,subjective_baseline_composite,subjective,-0.03
27/07/2023,2023/2024,bio_baseline_completeness,bio,0
27/07/2023,2023/2024,bio_baseline_composite,bio,
27/07/2023,2023/2024,emboss_baseline_score,total,-0.02
27/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
27/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
27/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
27/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
27/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
27/07/2023,2023/2024,sleep_baseline_composite,sleep,
27/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.032258065
27/07/2023,2023/2024,soreness_baseline_composite,soreness,0.05
27/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.075268817
27/07/2023,2023/2024,subjective_baseline_composite,subjective,-0.047142857
28/07/2023,2023/2024,bio_baseline_completeness,bio,0
28/07/2023,2023/2024,bio_baseline_composite,bio,
28/07/2023,2023/2024,emboss_baseline_score,total,-0.112857143
28/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
28/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
28/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
28/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
28/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
28/07/2023,2023/2024,sleep_baseline_composite,sleep,
28/07/2023,2023/2024,soreness_baseline_completeness,soreness,0
28/07/2023,2023/2024,soreness_baseline_composite,soreness,
28/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.075268817
28/07/2023,2023/2024,subjective_baseline_composite,subjective,-0.112857143
29/07/2023,2023/2024,bio_baseline_completeness,bio,0
29/07/2023,2023/2024,bio_baseline_composite,bio,
29/07/2023,2023/2024,emboss_baseline_score,total,-0.14
29/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
29/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
29/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
29/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
29/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
29/07/2023,2023/2024,sleep_baseline_composite,sleep,
29/07/2023,2023/2024,soreness_baseline_completeness,soreness,0
29/07/2023,2023/2024,soreness_baseline_composite,soreness,
29/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.086021505
29/07/2023,2023/2024,subjective_baseline_composite,subjective,-0.14
30/07/2023,2023/2024,bio_baseline_completeness,bio,0
30/07/2023,2023/2024,bio_baseline_composite,bio,
30/07/2023,2023/2024,emboss_baseline_score,total,0
30/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
30/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
30/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
30/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
30/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
30/07/2023,2023/2024,sleep_baseline_composite,sleep,
30/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.032258065
30/07/2023,2023/2024,soreness_baseline_composite,soreness,0
30/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.053763441
30/07/2023,2023/2024,subjective_baseline_composite,subjective,0
31/07/2023,2023/2024,bio_baseline_completeness,bio,0
31/07/2023,2023/2024,bio_baseline_composite,bio,
31/07/2023,2023/2024,emboss_baseline_score,total,-0.355
31/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
31/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
31/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
31/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
31/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
31/07/2023,2023/2024,sleep_baseline_composite,sleep,
31/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.048387097
31/07/2023,2023/2024,soreness_baseline_composite,soreness,-0.05
31/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.086021505
31/07/2023,2023/2024,subjective_baseline_composite,subjective,-0.34875
1/8/2023,2023/2024,bio_baseline_completeness,bio,0
1/8/2023,2023/2024,bio_baseline_composite,bio,
1/8/2023,2023/2024,emboss_baseline_score,total,-0.033
1/8/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.096774194
1/8/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,0
1/8/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.161290323
1/8/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,0
1/8/2023,2023/2024,sleep_baseline_completeness,sleep,0
1/8/2023,2023/2024,sleep_baseline_composite,sleep,
1/8/2023,2023/2024,soreness_baseline_completeness,soreness,0
1/8/2023,2023/2024,soreness_baseline_composite,soreness,
1/8/2023,2023/2024,subjective_baseline_completeness,subjective,0.064516129
1/8/2023,2023/2024,subjective_baseline_composite,subjective,-0.055
2/8/2023,2023/2024,bio_baseline_completeness,bio,0
2/8/2023,2023/2024,bio_baseline_composite,bio,
2/8/2023,2023/2024,emboss_baseline_score,total,-0.225714286
2/8/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
2/8/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
2/8/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
2/8/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
2/8/2023,2023/2024,sleep_baseline_completeness,sleep,0
2/8/2023,2023/2024,sleep_baseline_composite,sleep,
2/8/2023,2023/2024,soreness_baseline_completeness,soreness,0
2/8/2023,2023/2024,soreness_baseline_composite,soreness,
2/8/2023,2023/2024,subjective_baseline_completeness,subjective,0.075268817
2/8/2023,2023/2024,subjective_baseline_composite,subjective,-0.225714286
3/8/2023,2023/2024,bio_baseline_completeness,bio,0
3/8/2023,2023/2024,bio_baseline_composite,bio,
