sessionDate,recovery_score
3/7/2024,
3/8/2023,
3/8/2024,56.10950485403025
3/9/2023,
3/9/2024,46.30913043975321
30/01/2024,47.13762574951274
30/01/2025,50.2091463370724
30/03/2024,
30/04/2024,45.04362500292385
30/05/2024,
30/06/2024,
30/07/2023,54.882545449512
30/07/2024,50.035034174125514
30/08/2023,50.67824855401484
30/08/2024,38.39537467144016
30/09/2023,54.882545449512
30/09/2024,
30/10/2023,55.57003440944404
30/10/2024,58.880372286328026
30/11/2023,58.026803997605725
30/11/2024,55.89839609974409
30/12/2023,
30/12/2024,
31/01/2024,
31/01/2025,
31/03/2024,
31/05/2024,
31/07/2023,36.73852037920293
31/07/2024,48.383154724877016
31/08/2023,34.395866854851285
31/08/2024,54.418511251487764
31/10/2023,57.139659851325945
31/10/2024,
31/12/2023,
31/12/2024,39.400250266319
4/1/2024,57.3465972888061
4/1/2025,
4/10/2023,58.99857554180648
4/10/2024,50.42806754996331
4/11/2023,59.24649898200869
4/11/2024,
4/12/2023,40.624662308389496
4/12/2024,49.394763895342436
4/2/2024,
4/2/2025,37.07926137377439
4/3/2024,
4/3/2025,52.40520228697647
4/4/2024,42.17659932715253
4/5/2024,52.684775930972336
4/6/2024,
4/7/2023,56.316140630695
4/7/2024,
4/8/2023,38.6846435686404
4/8/2024,43.106405807013886
4/9/2023,26.580984388136557
4/9/2024,47.495831545267514
5/1/2024,54.942961133591865
5/1/2025,
5/10/2023,59.238714868166575
5/10/2024,60.88363202364685
5/11/2023,59.28949407414023
5/11/2024,34.571563934292314
5/12/2023,53.74864557173017
5/12/2024,
5/2/2024,36.888935431339036
5/2/2025,
5/3/2024,45.57816318348065
5/3/2025,3.4239677834570084
5/4/2024,41.93841764141327
5/5/2024,
5/6/2024,
5/7/2023,54.882545449512
5/7/2024,
5/8/2023,38.55913982416811
5/8/2024,46.78446898043111
5/9/2023,50.67824855401484
5/9/2024,51.25606487894576
6/1/2024,56.863103949128494
6/1/2025,39.75752901814137
6/10/2023,54.882545449512
6/10/2024,
6/11/2023,
6/11/2024,54.65439324236286
6/12/2023,
6/12/2024,50.272794933761986
6/2/2024,47.80957936752428
6/2/2025,39.62542692038903
6/3/2024,47.70282374977943
6/3/2025,54.75235728999891
6/4/2024,48.38906999324241
6/5/2024,
6/6/2024,
6/7/2023,54.882545449512
6/7/2024,
6/8/2023,
6/8/2024,54.3121836378551
6/9/2023,50.67824855401484
6/9/2024,
7/1/2024,45.20059402353864
7/1/2025,49.964262599118996
7/10/2023,
7/10/2024,
7/11/2023,
7/11/2024,
7/12/2023,
7/12/2024,57.86191998413615
7/2/2024,
7/2/2025,57.28438645716952
7/3/2024,57.45164150068214
7/3/2025,37.07743469718133
7/4/2024,
7/5/2024,48.420169065336005
7/6/2024,
7/7/2023,45.90086908156757
7/7/2024,
7/8/2023,
7/8/2024,
7/9/2023,50.67824855401484
7/9/2024,
8/1/2024,53.647963369409005
8/1/2025,31.61145051117802
8/10/2023,
8/10/2024,31.780815649921127
8/11/2023,55.13921187783597
8/11/2024,46.7693598981613
8/12/2023,46.6335570976415
8/12/2024,
8/2/2024,
8/2/2025,
8/3/2024,
8/3/2025,46.518854444507056
8/4/2024,
8/5/2024,50.261042300574445
8/6/2024,
8/7/2023,54.882545449512
8/7/2024,61.63930050367034
8/8/2023,53.618146691429075
8/8/2024,
8/9/2023,
8/9/2024,
9/1/2024,
9/1/2025,52.006862429061115
9/10/2023,50.45316958873338
9/10/2024,39.197751263970446
9/11/2023,61.39248557810625
9/11/2024,54.24336060544278
9/12/2023,59.35462505843544
9/12/2024,
9/2/2024,49.67673875823399
9/2/2025,36.72723751645655
9/3/2024,57.203836238958495
9/3/2025,
9/4/2024,
9/5/2024,44.773966738404496
9/6/2024,
9/7/2023,
9/7/2024,55.691905828547405
9/8/2023,51.91257148042363
9/8/2024,53.73645919206637
9/9/2023,
9/9/2024,46.89125738041037
