testDate,expression,movement,quality,benchmarkPct,benchmarkPct_norm
26/08/2024,dynamic,upper body,push,0.428,46.58753709198813
7/9/2024,dynamic,jump,take off,0.72,68.24925816023739
8/9/2024,isometric,jump,land,0.33,39.31750741839763
12/9/2024,dynamic,jump,pre-load,0.505,52.299703264094966
13/09/2024,isometric,jump,take off,0.368,42.13649851632048
13/09/2024,isometric,upper body,grapple,0.6315,61.68397626112759
14/09/2024,isometric,agility,rotate,0.6315,61.68397626112759
22/09/2024,isometric,agility,deceleration,0.869,79.30267062314542
23/09/2024,isometric,agility,deceleration,0.869,79.30267062314542
27/09/2024,isometric,upper body,push,0.936,84.27299703264096
16/10/2024,dynamic,upper body,push,0.498,51.78041543026707
17/10/2024,isometric,upper body,push,0.936,84.27299703264096
20/10/2024,dynamic,upper body,pull,0.88,80.11869436201782
23/10/2024,dynamic,agility,acceleration,0.486,50.89020771513353
28/10/2024,dynamic,jump,pre-load,0.57,57.12166172106825
22/11/2024,isometric,upper body,grapple,0.6795,65.24480712166172
30/12/2024,isometric,upper body,grapple,0.6705,64.57715133531158
4/1/2025,dynamic,jump,pre-load,0.497,51.706231454005945
11/1/2025,isometric,upper body,push,0.918,82.93768545994067
15/01/2025,isometric,jump,land,0.46,48.96142433234422
17/01/2025,dynamic,agility,deceleration,0.853,78.11572700296736
20/01/2025,dynamic,jump,pre-load,0.474,50.0
31/01/2025,dynamic,jump,take off,0.6825,65.46735905044511
3/2/2025,isometric,upper body,push,0.96,86.05341246290801
18/02/2025,isometric,agility,deceleration,0.96,86.05341246290801
11/3/2025,dynamic,agility,acceleration,0.495,51.557863501483695
4/7/2023,dynamic,jump,pre-load,0.554,55.934718100890215
5/7/2023,dynamic,upper body,pull,0.87,79.37685459940654
7/8/2023,dynamic,agility,acceleration,0.39,43.76854599406529
12/10/2023,isometric,agility,deceleration,1.038,91.83976261127597
18/10/2023,dynamic,jump,land,0.6615,63.909495548961424
24/10/2023,dynamic,jump,land,0.6615,63.909495548961424
28/10/2023,isometric,jump,pre-load,0.52,53.41246290801187
7/11/2023,dynamic,jump,take off,0.651,63.13056379821958
22/11/2023,dynamic,jump,land,0.69,66.02373887240356
24/11/2023,isometric,agility,deceleration,1.038,91.83976261127597
8/1/2024,dynamic,agility,acceleration,0.426,46.43916913946588
25/01/2024,isometric,agility,deceleration,1.138,99.25816023738872
3/2/2024,dynamic,agility,acceleration,0.4445,47.81157270029674
7/3/2024,dynamic,jump,pre-load,0.5,51.92878338278932
23/03/2024,dynamic,jump,pre-load,0.524,53.70919881305638
2/4/2024,dynamic,jump,pre-load,0.521,53.486646884273
10/4/2024,dynamic,jump,take off,0.64,62.31454005934719
19/04/2024,isometric,upper body,push,0.704,67.06231454005935
21/04/2024,isometric,agility,deceleration,1.1365,99.14688427299706
29/04/2024,dynamic,agility,acceleration,0.43,46.73590504451039
6/5/2024,isometric,jump,pre-load,0.52,53.41246290801187
13/05/2024,isometric,agility,acceleration,0.52,53.41246290801187
17/05/2024,isometric,agility,deceleration,1.1365,99.14688427299706
29/05/2024,dynamic,upper body,push,0.43,46.73590504451039
6/6/2024,isometric,agility,acceleration,0.49,51.18694362017804
16/06/2024,dynamic,agility,acceleration,0.43,46.73590504451039
8/7/2024,dynamic,upper body,pull,0.897,81.37982195845697
13/07/2024,dynamic,jump,take off,0.695,66.3946587537092
22/07/2024,isometric,jump,take off,0.3975,44.32492581602375
29/07/2024,isometric,jump,pre-load,0.685,65.65281899109793
2/8/2024,isometric,agility,deceleration,1.032,91.3946587537092
9/8/2024,dynamic,upper body,push,0.428,46.58753709198813
15/08/2024,isometric,agility,acceleration,0.7305,69.02818991097924
16/08/2024,dynamic,jump,pre-load,0.5095,52.63353115727004
22/08/2024,dynamic,upper body,pull,0.855,78.26409495548961
26/08/2024,isometric,agility,rotate,0.5075,52.48516320474778
27/08/2024,isometric,upper body,grapple,0.6015,59.458456973293785
1/9/2024,isometric,jump,land,0.363,41.76557863501484
5/9/2024,dynamic,jump,take off,0.72,68.24925816023739
18/09/2024,isometric,upper body,grapple,0.6315,61.68397626112759
2/10/2024,isometric,upper body,push,0.936,84.27299703264096
15/10/2024,dynamic,jump,take off,0.7165,67.98961424332346
23/10/2024,dynamic,jump,pre-load,0.5375,54.71068249258161
28/10/2024,dynamic,jump,take off,0.69,66.02373887240356
3/11/2024,dynamic,jump,land,0.666,64.24332344213651
11/11/2024,dynamic,jump,land,0.666,64.24332344213651
17/11/2024,dynamic,upper body,pull,0.88,80.11869436201782
23/11/2024,isometric,agility,acceleration,0.799,74.10979228486649
24/11/2024,isometric,jump,land,0.444,47.77448071216618
27/11/2024,dynamic,upper body,push,0.47,49.70326409495549
15/12/2024,isometric,agility,acceleration,0.796,73.8872403560831
7/1/2025,isometric,jump,land,0.42,45.99406528189912
9/1/2025,isometric,agility,deceleration,0.92,83.08605341246292
12/1/2025,isometric,jump,take off,0.46,48.96142433234422
12/1/2025,dynamic,upper body,pull,0.853,78.11572700296736
4/2/2025,isometric,agility,deceleration,0.96,86.05341246290801
17/02/2025,isometric,upper body,push,0.9555,85.71958456973294
20/02/2025,dynamic,agility,deceleration,0.87,79.37685459940654
25/02/2025,dynamic,jump,land,0.745,70.1038575667656
3/3/2025,isometric,upper body,pull,0.854,78.1899109792285
9/3/2025,isometric,agility,rotate,0.627,61.35014836795253
11/3/2025,dynamic,jump,pre-load,0.5225,53.597922848664695
17/07/2023,dynamic,jump,land,0.6975,66.58011869436203
4/8/2023,isometric,agility,deceleration,0.818,75.5192878338279
20/08/2023,dynamic,jump,land,0.69,66.02373887240356
2/9/2023,dynamic,upper body,push,0.3945,44.10237388724036
4/9/2023,dynamic,agility,deceleration,0.877,79.89614243323443
17/09/2023,dynamic,jump,pre-load,0.51,52.6706231454006
8/11/2023,isometric,jump,pre-load,0.52,53.41246290801187
8/11/2023,isometric,upper body,push,0.67,64.54005934718103
26/11/2023,dynamic,jump,take off,0.631,61.646884272997035
29/11/2023,dynamic,agility,deceleration,0.87,79.37685459940654
6/12/2023,isometric,agility,acceleration,0.52,53.41246290801187
7/1/2024,dynamic,agility,acceleration,0.426,46.43916913946588
22/01/2024,dynamic,jump,land,0.668,64.39169139465876
22/01/2024,isometric,upper body,push,0.6385,62.2032640949555
29/01/2024,isometric,agility,acceleration,0.52,53.41246290801187
2/3/2024,dynamic,jump,take off,0.6625,63.983679525222556
2/3/2024,dynamic,upper body,push,0.4445,47.81157270029674
8/3/2024,isometric,jump,pre-load,0.52,53.41246290801187
23/03/2024,isometric,jump,pre-load,0.52,53.41246290801187
28/04/2024,isometric,jump,pre-load,0.52,53.41246290801187
29/05/2024,isometric,agility,deceleration,1.1365,99.14688427299706
31/05/2024,dynamic,jump,land,0.664,64.09495548961426
31/05/2024,isometric,agility,acceleration,0.49,51.18694362017804
18/06/2024,isometric,agility,acceleration,0.49,51.18694362017804
22/07/2024,dynamic,jump,pre-load,0.466,49.406528189910986
2/8/2024,dynamic,upper body,push,0.428,46.58753709198813
3/8/2024,isometric,upper body,grapple,0.384,43.32344213649853
5/8/2024,dynamic,jump,take off,0.749,70.4005934718101
12/8/2024,dynamic,jump,pre-load,0.5095,52.63353115727004
17/08/2024,isometric,jump,land,0.363,41.76557863501484
4/9/2024,isometric,agility,rotate,0.6405,62.35163204747776
7/9/2024,isometric,agility,rotate,0.6315,61.68397626112759
8/9/2024,dynamic,jump,land,0.6495,63.019287833827896
19/09/2024,dynamic,jump,take off,0.7055,67.17359050445104
24/09/2024,isometric,jump,take off,0.426,46.43916913946588
5/10/2024,isometric,upper body,push,0.936,84.27299703264096
7/10/2024,isometric,agility,acceleration,0.6925,66.20919881305639
12/10/2024,isometric,agility,rotate,0.6595,63.761127596439174
25/10/2024,dynamic,upper body,push,0.486,50.89020771513353
3/11/2024,dynamic,upper body,push,0.486,50.89020771513353
8/11/2024,isometric,agility,acceleration,0.7145,67.84124629080121
11/11/2024,dynamic,agility,acceleration,0.47,49.70326409495549
13/11/2024,isometric,agility,deceleration,0.866,79.08011869436203
17/11/2024,isometric,upper body,push,0.936,84.27299703264096
21/11/2024,isometric,upper body,push,0.936,84.27299703264096
9/12/2024,dynamic,jump,land,0.728,68.84272997032642
18/12/2024,dynamic,upper body,pull,0.876,79.8219584569733
26/12/2024,isometric,upper body,pull,0.46,48.96142433234422
27/12/2024,dynamic,jump,take off,0.69,66.02373887240356
8/1/2025,isometric,agility,deceleration,0.92,83.08605341246292
10/1/2025,dynamic,jump,land,0.7365,69.473293768546
13/01/2025,dynamic,upper body,push,0.5,51.92878338278932
17/01/2025,dynamic,upper body,pull,0.853,78.11572700296736
28/01/2025,isometric,jump,pre-load,0.79,73.44213649851633
30/01/2025,dynamic,upper body,pull,0.873,79.59940652818992
31/01/2025,dynamic,agility,acceleration,0.4965,51.66913946587538
8/2/2025,isometric,jump,land,0.39,43.76854599406529
13/02/2025,dynamic,jump,take off,0.68,65.28189910979229
14/02/2025,isometric,agility,deceleration,0.958,85.90504451038576
25/02/2025,isometric,upper body,pull,0.7975,73.99851632047479
4/3/2025,isometric,jump,take off,0.3955,44.17655786350149
22/07/2023,dynamic,jump,take off,0.7365,69.473293768546
25/07/2023,dynamic,jump,land,0.69,66.02373887240356
28/07/2023,dynamic,upper body,push,0.345,40.43026706231454
28/07/2023,dynamic,agility,deceleration,0.8525,78.0786350148368
11/9/2023,isometric,jump,pre-load,0.52,53.41246290801187
28/09/2023,dynamic,jump,pre-load,0.49,51.18694362017804
14/10/2023,isometric,jump,pre-load,0.52,53.41246290801187
23/10/2023,isometric,jump,pre-load,0.52,53.41246290801187
30/10/2023,dynamic,jump,land,0.6615,63.909495548961424
9/11/2023,dynamic,jump,pre-load,0.497,51.706231454005945
17/11/2023,dynamic,upper body,pull,0.871,79.45103857566767
21/11/2023,dynamic,agility,deceleration,0.871,79.45103857566767
5/12/2023,dynamic,jump,land,0.688,65.8753709198813
9/12/2023,dynamic,jump,pre-load,0.4955,51.59495548961425
13/12/2023,isometric,agility,deceleration,1.04,91.98813056379824
16/12/2023,isometric,upper body,push,0.664,64.09495548961426
3/1/2024,dynamic,agility,acceleration,0.426,46.43916913946588
27/01/2024,isometric,jump,pre-load,0.52,53.41246290801187
4/2/2024,isometric,agility,deceleration,1.138,99.25816023738872
12/2/2024,dynamic,agility,deceleration,0.89,80.8605341246291
23/02/2024,isometric,agility,deceleration,1.148,100.0
21/03/2024,dynamic,agility,acceleration,0.4445,47.81157270029674
11/4/2024,dynamic,upper body,pull,0.89,80.8605341246291
30/04/2024,isometric,upper body,push,0.704,67.06231454005935
3/5/2024,isometric,upper body,push,0.704,67.06231454005935
13/05/2024,dynamic,upper body,push,0.43,46.73590504451039
13/05/2024,isometric,upper body,push,0.704,67.06231454005935
17/06/2024,dynamic,agility,deceleration,0.89,80.8605341246291
22/06/2024,dynamic,upper body,push,0.436,47.18100890207716
27/06/2024,dynamic,jump,pre-load,0.4655,49.36943620178042
27/06/2024,dynamic,upper body,pull,0.89,80.8605341246291
28/06/2024,isometric,upper body,push,0.704,67.06231454005935
23/07/2024,dynamic,upper body,pull,0.855,78.26409495548961
26/07/2024,isometric,agility,acceleration,0.685,65.65281899109793
29/07/2024,isometric,upper body,grapple,0.286,36.053412462908014
18/08/2024,isometric,jump,pre-load,0.7305,69.02818991097924
31/08/2024,dynamic,agility,deceleration,0.9,81.60237388724038
15/09/2024,dynamic,jump,land,0.6495,63.019287833827896
17/09/2024,dynamic,upper body,push,0.494,51.483679525222556
18/09/2024,dynamic,jump,take off,0.7155,67.91543026706232
19/09/2024,isometric,jump,land,0.426,46.43916913946588
10/10/2024,dynamic,upper body,push,0.498,51.78041543026707
16/10/2024,isometric,agility,rotate,0.6595,63.761127596439174
26/10/2024,dynamic,jump,land,0.666,64.24332344213651
30/10/2024,isometric,jump,take off,0.444,47.77448071216618
18/11/2024,dynamic,agility,acceleration,0.47,49.70326409495549
24/11/2024,isometric,jump,pre-load,0.799,74.10979228486649
2/12/2024,isometric,jump,land,0.42,45.99406528189912
12/12/2024,dynamic,upper body,pull,0.876,79.8219584569733
17/12/2024,dynamic,jump,land,0.728,68.84272997032642
22/12/2024,dynamic,agility,deceleration,0.876,79.8219584569733
25/12/2024,isometric,upper body,push,0.876,79.8219584569733
28/12/2024,isometric,agility,rotate,0.6705,64.57715133531158
3/1/2025,dynamic,upper body,push,0.498,51.78041543026707
19/01/2025,isometric,agility,acceleration,0.7475,70.2893175074184
27/01/2025,isometric,upper body,grapple,0.6675,64.3545994065282
30/01/2025,isometric,agility,rotate,0.6445,62.648367952522264
11/2/2025,dynamic,jump,take off,0.68,65.28189910979229
27/02/2025,isometric,agility,acceleration,0.79,73.44213649851633
5/7/2023,dynamic,upper body,push,0.32,38.575667655786354
30/07/2023,dynamic,agility,acceleration,0.395,44.13946587537092
16/08/2023,dynamic,jump,land,0.69,66.02373887240356
4/9/2023,isometric,jump,pre-load,0.52,53.41246290801187
26/09/2023,dynamic,jump,pre-load,0.49,51.18694362017804
29/09/2023,dynamic,jump,pre-load,0.487,50.964391691394674
26/10/2023,dynamic,jump,take off,0.6955,66.43175074183976
29/10/2023,dynamic,upper body,push,0.4305,46.77299703264096
23/11/2023,dynamic,upper body,push,0.4305,46.77299703264096
17/12/2023,dynamic,jump,land,0.68,65.28189910979229
21/12/2023,dynamic,jump,land,0.674,64.83679525222553
2/2/2024,dynamic,upper body,pull,0.899,81.52818991097924
19/02/2024,dynamic,jump,pre-load,0.476,50.14836795252226
17/03/2024,dynamic,jump,land,0.668,64.39169139465876
25/03/2024,isometric,upper body,push,0.704,67.06231454005935
28/03/2024,isometric,agility,acceleration,0.52,53.41246290801187
20/05/2024,dynamic,jump,take off,0.62,60.83086053412464
31/05/2024,isometric,agility,deceleration,1.1365,99.14688427299706
1/6/2024,dynamic,jump,land,0.664,64.09495548961426
4/6/2024,dynamic,agility,acceleration,0.43,46.73590504451039
9/6/2024,dynamic,upper body,pull,0.876,79.8219584569733
10/6/2024,dynamic,jump,pre-load,0.4655,49.36943620178042
18/06/2024,isometric,jump,pre-load,0.49,51.18694362017804
21/06/2024,dynamic,agility,acceleration,0.436,47.18100890207716
11/7/2024,isometric,jump,land,0.42,45.99406528189912
17/07/2024,isometric,upper body,push,0.922,83.23442136498518
18/07/2024,isometric,jump,pre-load,0.685,65.65281899109793
23/07/2024,isometric,jump,land,0.39,43.76854599406529
13/09/2024,isometric,jump,land,0.368,42.13649851632048
13/09/2024,isometric,upper body,push,0.936,84.27299703264096
20/09/2024,isometric,agility,deceleration,0.869,79.30267062314542
22/09/2024,isometric,jump,pre-load,0.72,68.24925816023739
26/10/2024,isometric,jump,take off,0.444,47.77448071216618
31/10/2024,isometric,upper body,push,0.936,84.27299703264096
12/11/2024,isometric,agility,deceleration,0.866,79.08011869436203
20/11/2024,dynamic,jump,pre-load,0.57,57.12166172106825
22/11/2024,dynamic,agility,acceleration,0.47,49.70326409495549
6/12/2024,isometric,agility,acceleration,0.796,73.8872403560831
9/12/2024,dynamic,agility,deceleration,0.876,79.8219584569733
25/12/2024,isometric,agility,deceleration,0.9155,82.75222551928783
15/02/2025,dynamic,jump,take off,0.68,65.28189910979229
3/3/2025,dynamic,jump,take off,0.6895,65.986646884273
4/3/2025,isometric,agility,acceleration,0.787,73.21958456973296
5/3/2025,dynamic,agility,deceleration,0.88,80.11869436201782
7/7/2023,dynamic,agility,acceleration,0.32,38.575667655786354
17/07/2023,dynamic,jump,take off,0.74,69.73293768545994
23/07/2023,dynamic,agility,deceleration,0.8525,78.0786350148368
2/8/2023,dynamic,agility,deceleration,0.8525,78.0786350148368
15/08/2023,dynamic,jump,land,0.69,66.02373887240356
22/08/2023,isometric,agility,deceleration,1.0395,91.95103857566767
31/08/2023,isometric,jump,pre-load,0.52,53.41246290801187
16/09/2023,isometric,agility,deceleration,1.0395,91.95103857566767
25/09/2023,dynamic,upper body,push,0.4305,46.77299703264096
2/10/2023,isometric,jump,pre-load,0.52,53.41246290801187
29/10/2023,dynamic,agility,deceleration,0.871,79.45103857566767
11/11/2023,isometric,agility,acceleration,0.52,53.41246290801187
13/11/2023,dynamic,upper body,push,0.43,46.73590504451039
15/11/2023,dynamic,agility,deceleration,0.871,79.45103857566767
1/12/2023,dynamic,agility,deceleration,0.87,79.37685459940654
1/1/2024,dynamic,jump,pre-load,0.484,50.74183976261127
2/1/2024,isometric,jump,pre-load,0.52,53.41246290801187
4/1/2024,isometric,agility,deceleration,1.112,97.32937685459943
10/1/2024,dynamic,agility,acceleration,0.43,46.73590504451039
15/01/2024,dynamic,agility,acceleration,0.43,46.73590504451039
23/01/2024,dynamic,agility,deceleration,0.879,80.04451038575668
27/01/2024,dynamic,upper body,pull,0.879,80.04451038575668
27/01/2024,dynamic,agility,deceleration,0.879,80.04451038575668
1/2/2024,isometric,upper body,push,0.772,72.10682492581603
5/2/2024,dynamic,jump,pre-load,0.53,54.154302670623146
17/02/2024,dynamic,upper body,pull,0.89,80.8605341246291
18/02/2024,dynamic,jump,pre-load,0.476,50.14836795252226
18/02/2024,isometric,agility,deceleration,1.148,100.0
26/02/2024,isometric,upper body,push,0.704,67.06231454005935
9/3/2024,isometric,upper body,push,0.704,67.06231454005935
20/03/2024,isometric,upper body,push,0.704,67.06231454005935
22/03/2024,dynamic,jump,take off,0.6525,63.241839762611285
